project, imports, javaFiles, imports/javaFiles
android-LNotifications, 57, 4, 14.25
android-JobScheduler, 54, 9, 6.00
android-Interpolator, 55, 10, 5.50
android-ImmersiveMode, 39, 11, 3.55
android-HorizontalPaging, 15, 2, 7.50
android-HdrViewfinder, 71, 5, 14.20
android-GridViewPager, 29, 3, 9.67
android-Geofencing, 104, 8, 13.00
android-FloatingActionButtonBasic, 47, 11, 4.27
android-Flashlight, 19, 2, 9.50
android-FingerprintDialog, 60, 4, 15.00
android-FindMyPhone, 45, 4, 11.25
android-ElizaChat, 25, 3, 8.33
android-ElevationDrag, 51, 11, 4.64
android-ElevationBasic, 41, 10, 4.10
android-DrawableTinting, 45, 9, 5.00
android-DragAndDropAcrossApps, 108, 20, 5.40
android-DownloadableFonts, 29, 3, 9.67
android-DoneBar, 26, 4, 6.50
android-DocumentCentricRelinquishIdentity, 9, 2, 4.50
android-DocumentCentricApps, 28, 4, 7.00
android-DirectShare, 32, 6, 5.33
android-DirectorySelection, 36, 7, 5.14
android-DeviceOwner, 41, 4, 10.25
android-DelayedConfirmation, 33, 3, 11.00
android-CustomTransition, 54, 10, 5.40
android-CustomNotifications, 12, 1, 12.00
android-ContentProviderPaging, 55, 6, 9.17
android-ConfirmCredential, 28, 1, 28.00
android-CommitContentSampleIME, 27, 1, 27.00
android-CommitContentSampleApp, 18, 1, 18.00
android-ClippingBasic, 43, 10, 4.30
android-CardView, 11, 3, 3.67
android-CardReader, 47, 11, 4.27
android-CardEmulation, 47, 12, 3.92
android-BorderlessButtons, 26, 7, 3.71
android-BluetoothAdvertisements, 68, 6, 11.33
android-BeamLargeFiles, 49, 11, 4.45
android-BatchStepSensor, 114, 20, 5.70
android-BasicTransition, 59, 11, 5.36
android-BasicSyncAdapter, 126, 17, 7.41
android-BasicNotifications, 11, 2, 5.50
android-BasicNetworking, 37, 9, 4.11
android-BasicMultitouch, 27, 9, 3.00
android-BasicMediaRouter, 37, 9, 4.11
android-BasicMediaDecoder, 34, 3, 11.33
android-BasicManagedProfile, 51, 5, 10.20
android-BasicImmersiveMode, 36, 10, 3.60
android-BasicGestureDetect, 44, 11, 4.00
android-BasicContactables, 35, 9, 3.89
android-BasicAndroidKeyStore, 60, 11, 5.45
android-AutoBackupForApps, 39, 4, 9.75
android-AsymmetricFingerprintDialog, 103, 9, 11.44
android-AppShortcuts, 47, 4, 11.75
android-AppRestrictionSchema, 49, 9, 5.44
android-AppRestrictions, 37, 4, 9.25
android-AppRestrictionEnforcer, 89, 9, 9.89
android-AdvancedImmersiveMode, 40, 10, 4.00
android-ActiveNotifications, 49, 10, 4.90
android-ActionBarCompat-Styled, 7, 2, 3.50
android-ActionBarCompat-ListPopupMenu, 14, 4, 3.50
android-ActionBarCompat-Basic, 7, 2, 3.50
android-key-attestation, 23, 1, 23.00
android-play-places, 257, 45, 5.71
android-AccelerometerPlay, 22, 1, 22.00
android-play-awareness, 47, 3, 15.67
leanback-assistant, 126, 17, 7.41
android-play-safetynet, 75, 12, 6.25
account-transfer-api, 69, 7, 9.86
android-SimpleMediaPlayer, 17, 4, 4.25
android-fido, 110, 5, 22.00
android-WearStandaloneGoogleSignIn, 24, 2, 12.00
android-WearOAuth, 26, 1, 26.00
android-unsplash, 139, 16, 8.69
android-codelab-watchface, 95, 5, 19.00
android-OurStreets, 257, 26, 9.88
android-WearCompanionLibrary, 261, 20, 13.05
android-gcmnetworkmanager, 27, 2, 13.50
identity-toolkit-android, 24, 3, 8.00
android-WclDemoSample, 219, 14, 15.64
attendee-checkin, 450, 45, 10.00
android-play-games-in-motion, 238, 31, 7.68
androidtv-daydream, 70, 13, 5.38
androidtv-VisualGameController, 43, 5, 8.60
androidtv-GameController, 46, 12, 3.83
android-google-accounts, 44, 4, 11.00
