project , java , properties , jar , build.gradle , pom.xml , manifest.xml , xml , bat , md , adoc , README , yaml , txt , sh , travis.yml , yml , cmd , kt , json , others
android-Camera2Video, 3, 2, 2, 4, 0, 2, 24, 2, 5, 0, 2, 4, 0, 0, 0, 0, 0, 7, 0, 41
android-Notifications, 23, 2, 1, 4, 0, 3, 33, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 69
android-BasicAccessibility, 9, 1, 1, 2, 0, 2, 14, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 28
android-XYZTouristAttractions, 18, 2, 1, 4, 0, 3, 41, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 56
android-WearVerifyRemoteApp, 2, 2, 1, 3, 0, 2, 20, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 28
android-WearSpeakerSample, 3, 2, 1, 2, 0, 1, 12, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 24
android-WearHighBandwidthNetworking, 1, 1, 1, 2, 0, 1, 14, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 21
android-WearDrawers, 2, 1, 1, 2, 0, 1, 5, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 43
android-WearComplicationProvidersTestSuite, 8, 1, 1, 2, 0, 1, 13, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 22
android-WearAccessibilityApp, 32, 1, 1, 2, 0, 1, 88, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 25
android-WatchFace, 17, 2, 1, 3, 0, 2, 42, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 79
android-RuntimePermissionsWear, 8, 2, 1, 4, 0, 3, 24, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 69
android-JumpingJack, 12, 1, 1, 2, 0, 1, 8, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 27
android-DataLayer, 8, 2, 1, 3, 0, 2, 26, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 30
android-AlwaysOn, 1, 1, 1, 2, 0, 1, 3, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 18
android-MediaEffects, 11, 1, 1, 2, 0, 1, 16, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 23
android-DirectBoot, 9, 1, 1, 2, 0, 1, 16, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 45
leanback-showcase, 154, 1, 1, 2, 0, 1, 59, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 11, 144
android-MessagingService, 7, 1, 1, 2, 0, 1, 10, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 30
androidtv-sample-inputs, 59, 1, 1, 3, 0, 5, 38, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 24
leanback-homescreen-channels, 22, 2, 1, 2, 0, 1, 16, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 23
android-play-publisher-api, 12, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 25
androidtv-Leanback, 38, 2, 1, 2, 0, 1, 26, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 930
android-BluetoothChat, 12, 1, 1, 2, 0, 1, 19, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 27
android-MediaRecorder, 3, 1, 1, 2, 0, 1, 13, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 22
android-fit, 31, 10, 5, 10, 0, 5, 36, 5, 11, 0, 6, 8, 0, 0, 0, 0, 0, 0, 0, 58
android-DisplayingBitmaps, 21, 1, 1, 2, 0, 2, 22, 1, 3, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 23
android-testing-templates, 13, 4, 2, 10, 0, 8, 24, 2, 5, 0, 3, 2, 0, 0, 0, 0, 0, 13, 2, 31
android-ActivityInstrumentation, 8, 1, 1, 2, 0, 2, 14, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 19
chromeos-android-draganddrop-demo, 3, 3, 1, 2, 0, 1, 9, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 30
android-BasicRenderScript, 2, 2, 1, 2, 0, 2, 13, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 24
android-TensorFlowCloudMachineLearningEngineStylizer, 7, 2, 1, 2, 0, 1, 10, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 63
android-CustomChoiceList, 9, 1, 1, 2, 0, 1, 15, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 23
android-WatchViewStub, 1, 1, 1, 2, 0, 1, 8, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 20
android-Timer, 6, 1, 1, 2, 0, 1, 7, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 22
android-TextSwitcher, 7, 1, 1, 2, 0, 1, 16, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 21
android-TextLinkify, 8, 1, 1, 2, 0, 2, 15, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 21
android-SynchronizedNotifications, 13, 1, 1, 4, 0, 3, 20, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 27
android-SwipeRefreshMultipleViews, 14, 1, 1, 2, 0, 2, 18, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 19
android-SwipeRefreshListFragment, 14, 1, 2, 2, 0, 2, 17, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 21
android-SwipeRefreshLayoutBasic, 13, 1, 1, 2, 0, 2, 18, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 19
android-StorageProvider, 10, 1, 1, 2, 0, 1, 17, 1, 3, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 28
android-StorageClient, 10, 1, 1, 2, 0, 2, 15, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 21
android-SlidingTabsColors, 13, 1, 1, 2, 0, 2, 17, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 22
android-SlidingTabsBasic, 12, 1, 1, 2, 0, 2, 16, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 19
android-SkeletonWearableApp, 2, 1, 1, 2, 0, 1, 5, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 22
android-ShareActionProvider, 4, 1, 1, 2, 0, 2, 15, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 25
android-ScreenCapture, 10, 1, 1, 2, 0, 1, 15, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 21
android-ScopedDirectoryAccess, 4, 1, 1, 2, 0, 1, 15, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 34
android-RuntimePermissions, 6, 3, 2, 3, 0, 2, 19, 2, 3, 0, 2, 2, 0, 0, 0, 0, 0, 8, 0, 30
android-RevealEffectBasic, 10, 1, 1, 2, 0, 2, 17, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 21
android-RepeatingAlarm, 9, 1, 1, 2, 0, 1, 14, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 19
android-RenderScriptIntrinsic, 3, 1, 1, 2, 0, 2, 14, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 23
android-RecyclerView, 10, 3, 2, 4, 0, 2, 34, 2, 4, 0, 2, 2, 0, 0, 0, 0, 0, 10, 0, 30
android-RecipeAssistant, 14, 1, 1, 2, 0, 1, 16, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 4, 41
android-Quiz, 8, 1, 1, 3, 0, 2, 20, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 57
android-PermissionRequest, 13, 1, 1, 2, 0, 1, 15, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 25
android-PdfRendererBasic, 3, 2, 2, 4, 0, 4, 24, 2, 5, 0, 2, 2, 0, 0, 0, 0, 0, 3, 0, 33
android-NotificationChannels, 2, 2, 2, 4, 0, 2, 28, 2, 4, 0, 2, 2, 0, 0, 0, 0, 0, 2, 0, 31
android-NfcProvisioning, 13, 1, 1, 2, 0, 1, 15, 1, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 21
android-NetworkConnect, 4, 1, 1, 2, 0, 2, 14, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 21
android-NavigationDrawer, 10, 2, 2, 4, 0, 3, 38, 2, 5, 0, 2, 3, 0, 0, 0, 0, 0, 5, 0, 59
android-MultiWindowPlayground, 14, 2, 2, 4, 0, 2, 18, 2, 3, 0, 2, 1, 0, 0, 0, 0, 0, 14, 0, 29
android-MidiSynth, 25, 1, 1, 2, 0, 1, 15, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 22
android-MidiScope, 28, 1, 1, 2, 0, 1, 15, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 28
android-MediaRouter, 17, 1, 1, 2, 0, 2, 19, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 43
android-MediaBrowserService, 9, 1, 1, 2, 0, 1, 6, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 50
android-LNotifications, 4, 1, 1, 2, 0, 2, 18, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 55
android-JobScheduler, 9, 2, 2, 4, 0, 3, 31, 2, 5, 0, 2, 4, 1, 0, 0, 0, 0, 5, 0, 25
android-Interpolator, 10, 1, 1, 2, 0, 2, 17, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 22
android-ImmersiveMode, 11, 1, 1, 2, 0, 2, 15, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 19
android-HorizontalPaging, 2, 1, 1, 2, 0, 2, 15, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 22
android-HdrViewfinder, 5, 1, 1, 2, 0, 1, 13, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 26
android-GridViewPager, 3, 1, 1, 2, 0, 1, 7, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 36
android-Geofencing, 8, 1, 1, 3, 0, 2, 12, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 28
android-FloatingActionButtonBasic, 11, 1, 1, 2, 0, 2, 20, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 27
android-Flashlight, 2, 1, 1, 2, 0, 1, 5, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 21
android-FingerprintDialog, 4, 3, 2, 4, 0, 2, 33, 2, 3, 0, 2, 3, 0, 0, 0, 0, 0, 7, 0, 48
android-FindMyPhone, 4, 1, 1, 3, 0, 2, 13, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 26
android-ElizaChat, 3, 1, 1, 2, 0, 1, 13, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 28
android-ElevationDrag, 11, 1, 1, 2, 0, 2, 17, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 21
android-ElevationBasic, 10, 1, 1, 2, 0, 2, 18, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 22
android-DrawableTinting, 9, 1, 1, 2, 0, 1, 18, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 23
android-DragAndDropAcrossApps, 20, 1, 1, 3, 0, 2, 33, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 33
android-DownloadableFonts, 3, 2, 2, 4, 0, 2, 22, 2, 4, 0, 2, 2, 0, 0, 0, 0, 0, 3, 0, 43
android-DoneBar, 4, 1, 1, 2, 0, 2, 24, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 29
android-DocumentCentricRelinquishIdentity, 2, 1, 1, 2, 0, 1, 13, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 23
android-DocumentCentricApps, 4, 1, 1, 2, 0, 1, 13, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 22
android-DirectShare, 6, 1, 1, 2, 0, 1, 17, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 29
android-DirectorySelection, 7, 1, 1, 2, 0, 1, 16, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 31
android-DeviceOwner, 4, 1, 1, 2, 0, 1, 15, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 21
android-DelayedConfirmation, 3, 1, 1, 3, 0, 2, 16, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 27
android-CustomTransition, 10, 1, 1, 2, 0, 1, 17, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 21
android-CustomNotifications, 1, 1, 1, 2, 0, 1, 17, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 35
android-ContentProviderPaging, 6, 2, 2, 6, 0, 4, 20, 2, 4, 0, 2, 2, 0, 0, 0, 0, 0, 6, 0, 71
android-ConfirmCredential, 1, 1, 1, 2, 0, 2, 13, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 25
android-CommitContentSampleIME, 1, 2, 1, 2, 0, 1, 6, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 30
android-CommitContentSampleApp, 1, 2, 1, 2, 0, 1, 5, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 25
android-ClippingBasic, 10, 1, 1, 2, 0, 2, 17, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 22
android-CardView, 3, 2, 2, 4, 0, 3, 22, 2, 5, 0, 2, 2, 0, 0, 0, 0, 0, 3, 0, 25
android-CardReader, 11, 1, 1, 2, 0, 2, 17, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 20
android-CardEmulation, 12, 1, 1, 2, 0, 2, 17, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 20
android-BorderlessButtons, 7, 1, 1, 2, 0, 1, 15, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 24
android-BluetoothAdvertisements, 6, 1, 1, 2, 0, 1, 14, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 25
android-BeamLargeFiles, 11, 1, 1, 2, 0, 2, 14, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 20
android-BatchStepSensor, 20, 1, 1, 2, 0, 1, 41, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 35
android-BasicTransition, 11, 1, 1, 2, 0, 1, 24, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 21
android-BasicSyncAdapter, 17, 1, 1, 2, 0, 2, 17, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 22
android-BasicNotifications, 2, 1, 1, 2, 0, 2, 12, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 31
android-BasicNetworking, 9, 1, 1, 2, 0, 2, 14, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 22
android-BasicMultitouch, 9, 1, 1, 2, 0, 1, 14, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 22
android-BasicMediaRouter, 9, 1, 1, 2, 0, 2, 16, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 19
android-BasicMediaDecoder, 3, 1, 1, 2, 0, 1, 13, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 29
android-BasicManagedProfile, 5, 1, 1, 2, 0, 1, 19, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 25
android-BasicImmersiveMode, 10, 1, 1, 2, 0, 2, 15, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 22
android-BasicGestureDetect, 11, 1, 1, 2, 0, 2, 15, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 21
android-BasicContactables, 9, 1, 1, 2, 0, 2, 15, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 26
android-BasicAndroidKeyStore, 11, 1, 1, 2, 0, 2, 15, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 26
android-AutoBackupForApps, 4, 1, 1, 2, 0, 1, 18, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 22
android-AsymmetricFingerprintDialog, 9, 1, 1, 2, 0, 1, 20, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 31
android-AppShortcuts, 4, 1, 1, 2, 0, 1, 6, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 26
android-AppRestrictionSchema, 9, 1, 1, 2, 0, 1, 18, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 22
android-AppRestrictions, 4, 1, 1, 2, 0, 1, 12, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 23
android-AppRestrictionEnforcer, 9, 1, 1, 2, 0, 1, 18, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 22
android-AdvancedImmersiveMode, 10, 1, 1, 2, 0, 2, 16, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 21
android-ActiveNotifications, 10, 1, 1, 2, 0, 1, 15, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 29
android-ActionBarCompat-Styled, 2, 1, 1, 2, 0, 2, 21, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 81
android-ActionBarCompat-ListPopupMenu, 4, 1, 1, 2, 0, 2, 14, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 25
android-ActionBarCompat-Basic, 2, 1, 1, 2, 0, 2, 14, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 31
android-key-attestation, 1, 1, 1, 1, 0, 0, 0, 1, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 13
android-play-places, 45, 4, 4, 8, 0, 4, 75, 4, 9, 0, 5, 4, 0, 0, 0, 0, 0, 0, 0, 52
android-AccelerometerPlay, 1, 1, 1, 2, 0, 1, 3, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 21
android-play-awareness, 3, 2, 1, 2, 0, 1, 9, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 20
leanback-assistant, 17, 2, 1, 2, 0, 1, 12, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37
android-play-safetynet, 12, 3, 2, 3, 0, 1, 14, 2, 6, 0, 4, 1, 0, 0, 0, 0, 0, 0, 1, 29
account-transfer-api, 7, 2, 1, 2, 0, 1, 7, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 20
android-SimpleMediaPlayer, 4, 2, 1, 2, 0, 1, 5, 1, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 23
android-fido, 5, 2, 2, 2, 0, 1, 22, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 27
android-WearStandaloneGoogleSignIn, 2, 1, 1, 2, 0, 1, 13, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 17
android-WearOAuth, 1, 2, 1, 2, 0, 1, 3, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 18
android-unsplash, 16, 2, 1, 2, 0, 1, 19, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 21
android-codelab-watchface, 5, 2, 1, 6, 0, 5, 20, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 23
android-OurStreets, 26, 2, 1, 2, 0, 1, 22, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 24
android-WearCompanionLibrary, 20, 2, 1, 2, 0, 1, 11, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 30
android-gcmnetworkmanager, 2, 2, 1, 2, 0, 1, 7, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 20
identity-toolkit-android, 3, 2, 3, 2, 0, 2, 39, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 65
android-WclDemoSample, 14, 2, 1, 4, 0, 3, 39, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 60
attendee-checkin, 45, 1, 2, 2, 0, 1, 34, 1, 2, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 56
android-play-games-in-motion, 31, 2, 1, 2, 0, 1, 49, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144
androidtv-daydream, 13, 0, 0, 2, 0, 1, 14, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 16
androidtv-VisualGameController, 5, 2, 1, 1, 0, 1, 8, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 30
androidtv-GameController, 12, 2, 2, 2, 0, 1, 9, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 21
android-google-accounts, 4, 4, 2, 4, 0, 2, 14, 2, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 31
