framework,repository,stargazers,commits,files
android,android-DoneBar,56,25,54
android,android-LNotifications,55,25,74
android,android-ActionBarCompat-Basic,50,25,44
android,android-AppRestrictionEnforcer,31,25,45
android,android-AppRestrictions,17,25,36
android,android-ScreenCapture,879,24,41
android,android-SwipeRefreshMultipleViews,257,24,48
android,android-RevealEffectBasic,172,24,44
android,android-TextLinkify,167,24,41
android,android-SwipeRefreshListFragment,165,24,50
android,android-SlidingTabsColors,150,24,49
android,android-TextSwitcher,143,24,41
android,android-CardEmulation,121,24,46
android,android-CustomNotifications,112,24,50
android,android-RepeatingAlarm,111,24,39
android,android-HdrViewfinder,110,24,41
android,android-CustomTransition,99,24,45
android,android-MediaEffects,98,24,45
android,android-BasicNetworking,97,24,42
android,android-BasicTransition,93,24,53
android,android-BasicNotifications,89,24,42
android,android-CardReader,85,24,45
android,android-SwipeRefreshLayoutBasic,81,24,47
android,android-AdvancedImmersiveMode,62,24,44
android,android-ImmersiveMode,59,24,42
android,android-StorageClient,58,24,43
android,android-BasicGestureDetect,54,24,44
android,android-DocumentCentricApps,53,24,35
android,android-ActionBarCompat-Styled,48,24,101
android,android-CustomChoiceList,48,24,44
android,android-ActivityInstrumentation,47,24,38
android,android-DrawableTinting,47,24,47
android,android-BorderlessButtons,45,24,43
android,android-MediaRouter,41,24,76
android,android-BasicMediaRouter,36,24,41
android,android-BasicMultitouch,31,24,42
android,android-BasicImmersiveMode,24,24,44
android,android-Interpolator,89,23,46
android,android-BasicRenderScript,64,23,37
android,android-RenderScriptIntrinsic,63,23,37
android,android-AlwaysOn,28,23,17
android,android-DocumentCentricRelinquishIdentity,10,23,33
android,android-custom-lint-rules,390,22,24
android,android-DirectorySelection,90,22,49
android,android-RuntimePermissionsWear,12,22,99
android,android-AppUsageStatistics,246,21,43
android,android-PermissionRequest,68,21,48
android,android-AsymmetricFingerprintDialog,219,20,55
android,android-play-safetynet,130,20,59
android,android-NfcProvisioning,122,19,45
android,android-ActionBarCompat-ShareActionProvider,112,19,41
android,android-DeviceOwner,117,18,35
android,android-BeamLargeFiles,61,18,40
android,android-Camera2Raw,329,17,41
android,android-ActiveNotifications,217,17,49
android,android-BluetoothAdvertisements,217,17,40
android,android-RuntimePermissions,1243,16,65
android,android-ConfirmCredential,219,16,34
android,android-WearSpeakerSample,44,16,35
android,android-play-publisher-api,338,15,32
android,android-DirectBoot,163,15,65
android,android-AutoBackupForApps,65,14,39
android,android-fido,53,14,49
android,android-WearVerifyRemoteApp,37,14,47
android,android-ScopedDirectoryAccess,111,13,48
android,android-WearDrawers,36,13,45
android,android-Notifications,135,12,123
android,android-DirectShare,99,12,47
android,android-MidiSynth,70,12,57
android,android-MidiScope,28,12,66
android,android-google-accounts,57,11,48
android,android-WearCompanionLibrary,46,11,54
android,leanback-homescreen-channels,18,11,55
android,chromeos-android-draganddrop-demo,3,11,40
android,android-WearHighBandwidthNetworking,16,10,31
android,android-MultiWindowPlayground,415,9,76
android,androidtv-GameController,25,8,37
android,android-WearComplicationProvidersTestSuite,20,8,38
android,android-OurStreets,354,7,67
android,android-AppShortcuts,196,7,33
android,android-CommitContentSampleIME,52,7,33
android,android-gcmnetworkmanager,45,7,24
android,android-CommitContentSampleApp,24,7,29
android,android-PictureInPicture,1359,6,88
android,android-play-games-in-motion,156,6,226
android,leanback-assistant,44,6,60
android,android-WearAccessibilityApp,3,6,140
android,android-EmojiCompat,651,5,55
android,android-NotificationChannels,314,5,66
android,android-DownloadableFonts,296,5,74
android,android-ContentProviderPaging,25,5,108
android,android-ShareActionProvider,14,5,41
android,android-DragAndDropAcrossApps,37,4,82
android,android-SimpleMediaPlayer,144,3,29
android,android-play-awareness,43,3,27
android,android-key-attestation,23,3,9
android,androidtv-daydream,19,3,36
android,android-WearStandaloneGoogleSignIn,16,3,28
android,android-WearOAuth,8,3,18
android,androidtv-VisualGameController,31,2,40
android,attendee-checkin,30,2,131
android,account-transfer-api,13,2,29
android,android-WclDemoSample,13,2,107
android,android-TensorFlowCloudMachineLearningEngineStylizer,8,2,74
android,android-AccelerometerPlay,93,1,22
android,android-codelab-watchface,63,1,48
android,android-WifiRttScan,34,1,56
spring,gs-rest-service,765,333,28
spring,gs-securing-web,130,227,36
spring,gs-scheduling-tasks,62,213,26
spring,gs-uploading-files,214,210,42
spring,gs-centralized-configuration,27,209,37
spring,gs-accessing-data-neo4j,15,206,27
spring,gs-service-registration-and-discovery,59,203,36
spring,gs-authenticating-ldap,39,203,31
spring,gs-consuming-rest,68,202,26
spring,gs-actuator-service,40,202,30
spring,gs-batch-processing,83,201,31
spring,gs-accessing-data-gemfire,8,198,26
spring,gs-validating-form-input,55,195,33
spring,gs-accessing-data-jpa,107,193,26
spring,gs-messaging-jms,44,193,25
spring,gs-rest-hateoas,43,192,27
spring,gs-relational-data-access,39,192,24
spring,gs-messaging-redis,48,190,26
spring,gs-messaging-rabbitmq,90,186,30
spring,gs-accessing-data-mongodb,63,186,26
spring,gs-caching-gemfire,4,181,26
spring,gs-spring-boot,409,179,28
spring,gs-integration,5,179,27
spring,gs-serving-web-content,150,170,30
spring,gs-async-method,45,163,26
spring,gs-managing-transactions,16,163,26
spring,gs-handling-form-submission,19,151,35
spring,gs-maven,89,137,20
spring,gs-gradle,80,137,17
spring,gs-messaging-stomp-websocket,226,132,30
spring,gs-spring-boot-docker,354,125,27
spring,gs-rest-service-cors,53,125,33
spring,gs-reactive-rest-service,26,122,27
spring,gs-producing-web-service,59,120,29
spring,gs-contract-rest,1,119,66
spring,gs-client-side-load-balancing,24,117,37
spring,gs-accessing-data-mysql,47,116,28
spring,gs-messaging-gcp-pubsub,3,116,26
spring,gs-circuit-breaker,22,115,46
spring,gs-accessing-neo4j-data-rest,7,115,28
spring,gs-gateway,14,114,26
spring,gs-consuming-web-service,59,113,26
spring,gs-vault-config,3,107,26
spring,gs-accessing-vault,2,107,25
spring,gs-accessing-gemfire-data-rest,3,105,26
spring,gs-spring-boot-for-azure,0,104,27
spring,gs-accessing-data-rest,84,102,26
spring,gs-caching,30,101,32
spring,getting-started-guides,183,98,25
spring,gs-accessing-mongodb-data-rest,38,97,26
spring,tut-spring-boot-oauth2,531,84,56
spring,gs-crud-with-vaadin,45,83,33
spring,tut-rest,235,67,46
spring,gs-testing-web,32,48,31
spring,gs-multi-module,93,38,36
spring,gs-testing-restdocs,4,25,27
spring,quoters,5,9,15
