project, imports, javaFiles, imports/javaFiles
android-FloatingActionButtonBasic, 27, 11, 2.45
android-Flashlight, 17, 2, 8.50
android-FingerprintDialog, 33, 4, 8.25
android-FindMyPhone, 17, 4, 4.25
android-ElizaChat, 20, 3, 6.67
android-ElevationDrag, 28, 11, 2.55
android-ElevationBasic, 22, 10, 2.20
android-DrawableTinting, 29, 9, 3.22
android-DragAndDropAcrossApps, 37, 20, 1.85
android-DownloadableFonts, 23, 3, 7.67
android-DoneBar, 16, 4, 4.00
android-DocumentCentricRelinquishIdentity, 7, 2, 3.50
android-DocumentCentricApps, 16, 4, 4.00
android-DirectShare, 19, 6, 3.17
android-DirectorySelection, 23, 7, 3.29
android-DeviceOwner, 24, 4, 6.00
android-DelayedConfirmation, 9, 3, 3.00
android-CustomTransition, 35, 10, 3.50
android-CustomNotifications, 10, 1, 10.00
android-ContentProviderPaging, 32, 6, 5.33
android-ConfirmCredential, 13, 1, 13.00
android-CommitContentSampleIME, 22, 1, 22.00
android-CommitContentSampleApp, 16, 1, 16.00
android-ClippingBasic, 25, 10, 2.50
android-CardView, 10, 3, 3.33
android-CardReader, 24, 11, 2.18
android-CardEmulation, 25, 12, 2.08
android-BorderlessButtons, 23, 7, 3.29
android-BluetoothAdvertisements, 38, 6, 6.33
android-BeamLargeFiles, 29, 11, 2.64
android-BatchStepSensor, 48, 20, 2.40
android-BasicTransition, 35, 11, 3.18
android-BasicSyncAdapter, 56, 17, 3.29
android-BasicNotifications, 10, 2, 5.00
android-BasicNetworking, 22, 9, 2.44
android-BasicMultitouch, 22, 9, 2.44
android-BasicMediaRouter, 27, 9, 3.00
android-BasicMediaDecoder, 21, 3, 7.00
android-BasicManagedProfile, 25, 5, 5.00
android-BasicImmersiveMode, 22, 10, 2.20
android-BasicGestureDetect, 26, 11, 2.36
android-BasicContactables, 26, 9, 2.89
android-BasicAndroidKeyStore, 27, 11, 2.45
android-AutoBackupForApps, 22, 4, 5.50
android-AsymmetricFingerprintDialog, 31, 9, 3.44
android-AppShortcuts, 27, 4, 6.75
android-AppRestrictionSchema, 31, 9, 3.44
android-AppRestrictions, 19, 4, 4.75
android-AppRestrictionEnforcer, 35, 9, 3.89
android-AdvancedImmersiveMode, 24, 10, 2.40
android-ActiveNotifications, 29, 10, 2.90
android-ActionBarCompat-Styled, 6, 2, 3.00
android-ActionBarCompat-ListPopupMenu, 11, 4, 2.75
android-ActionBarCompat-Basic, 6, 2, 3.00
android-key-attestation, 0, 1, 0.00
android-play-places, 57, 45, 1.27
android-AccelerometerPlay, 22, 1, 22.00
android-play-awareness, 28, 3, 9.33
leanback-assistant, 58, 17, 3.41
android-play-safetynet, 24, 12, 2.00
account-transfer-api, 27, 7, 3.86
android-SimpleMediaPlayer, 12, 4, 3.00
android-fido, 40, 5, 8.00
android-WearStandaloneGoogleSignIn, 14, 2, 7.00
android-WearOAuth, 9, 1, 9.00
android-unsplash, 52, 16, 3.25
android-codelab-watchface, 20, 5, 4.00
android-OurStreets, 61, 26, 2.35
android-WearCompanionLibrary, 46, 20, 2.30
android-gcmnetworkmanager, 11, 2, 5.50
identity-toolkit-android, 14, 3, 4.67
android-WclDemoSample, 36, 14, 2.57
attendee-checkin, 131, 45, 2.91
android-play-games-in-motion, 41, 31, 1.32
androidtv-daydream, 26, 13, 2.00
androidtv-VisualGameController, 25, 5, 5.00
androidtv-GameController, 17, 12, 1.42
android-google-accounts, 17, 4, 4.25
