ecosystem,nameProject,forks,forksAhead,razao
Android,android-testing-templates,267,14,"0,052434456928839"
Android,android-play-location,2082,40,"0,019212295869356"
Android,android-PictureInPicture,271,3,"0,011070110701107"
Android,android-RuntimePermissions,395,11,"0,027848101265823"
Android,android-FingerprintDialog,433,10,"0,023094688221709"
Android,androidtv-Leanback,385,14,"0,036363636363636"
Android,android-Camera2Video,441,28,"0,063492063492064"
Android,android-play-billing,725,20,"0,027586206896552"
Android,android-ScreenCapture,238,5,"0,021008403361345"
Android,android-instant-apps,239,18,"0,075313807531381"
Android,android-BluetoothChat,560,19,"0,033928571428572"
Android,android-BluetoothLeGatt,483,64,"0,132505175983437"
Android,android-JobScheduler,245,8,"0,03265306122449"
Android,android-EmojiCompat,112,1,"0,008928571428571"
Android,android-RecyclerView,337,8,"0,023738872403561"
Android,android-play-places,638,4,"0,006269592476489"
Android,android-PdfRendererBasic,142,3,"0,02112676056338"
Android,android-unsplash,70,5,"0,071428571428572"
Android,android-nearby,292,8,"0,027397260273973"
Android,android-MultiWindowPlayground,156,0,0
Android,leanback-showcase,162,10,"0,061728395061728"
Android,android-XYZTouristAttractions,173,11,"0,063583815028902"
Android,android-AutofillFramework,202,10,"0,04950495049505"
Android,android-OurStreets,46,1,"0,021739130434783"
Android,android-custom-lint-rules,65,2,"0,030769230769231"
Android,android-MediaBrowserService,140,10,"0,071428571428572"
Android,android-fit,336,11,"0,032738095238095"
Android,android-ActivitySceneTransitionBasic,107,3,"0,02803738317757"
Android,android-play-publisher-api,181,13,"0,07182320441989"
Android,android-Camera2Raw,130,7,"0,053846153846154"
Android,androidtv-sample-inputs,140,10,"0,071428571428572"
Android,android-DownloadableFonts,76,1,"0,013157894736842"
Android,android-WatchFace,151,14,"0,09271523178808"
Android,android-NotificationChannels,142,8,"0,056338028169014"
Android,android-NavigationDrawer,165,6,"0,036363636363636"
Android,android-DisplayingBitmaps,114,6,"0,052631578947369"
Android,android-SwipeRefreshMultipleViews,83,3,"0,036144578313253"
Android,android-CardView,188,4,"0,021276595744681"
Android,android-MediaRecorder,159,8,"0,050314465408805"
Android,android-testdpc,134,6,"0,044776119402985"
Android,android-AppUsageStatistics,78,6,"0,076923076923077"
Android,android-ActiveNotifications,95,2,"0,021052631578947"
Android,android-MessagingService,141,2,"0,014184397163121"
Android,android-BasicSyncAdapter,109,7,"0,064220183486239"
Android,android-BluetoothAdvertisements,106,8,"0,075471698113208"
Android,android-ConfirmCredential,61,4,"0,065573770491803"
Android,android-AsymmetricFingerprintDialog,75,2,"0,026666666666667"
Android,android-SlidingTabsBasic,91,7,"0,076923076923077"
Android,android-FloatingActionButtonBasic,68,0,0
Android,android-RevealEffectBasic,47,0,0
Android,android-ads,185,2,"0,010810810810811"
Android,android-SwipeRefreshListFragment,85,1,"0,011764705882353"
Android,android-TextLinkify,51,0,0
Android,android-AppShortcuts,112,5,"0,044642857142857"
Android,android-DirectBoot,68,2,"0,029411764705882"
Android,android-play-games-in-motion,42,0,0
Android,android-credentials,89,6,"0,067415730337079"
Android,android-SlidingTabsColors,64,2,"0,03125"
Android,android-TextSwitcher,60,2,"0,033333333333333"
Android,android-BasicAndroidKeyStore,43,2,"0,046511627906977"
Android,android-SpeedTracker,86,2,"0,023255813953488"
Android,android-NetworkConnect,114,5,"0,043859649122807"
Android,android-SimpleMediaPlayer,61,3,"0,049180327868853"
Android,android-play-safetynet,50,3,"0,06"
Android,android-ActionBarCompat-ShareActionProvider,150,1,"0,006666666666667"
Android,android-BatchStepSensor,46,1,"0,021739130434783"
Android,android-NfcProvisioning,53,2,"0,037735849056604"
Android,android-ScopedDirectoryAccess,56,1,"0,017857142857143"
Android,android-DeviceOwner,51,0,0
Android,android-CustomNotifications,73,0,0
Android,android-BasicManagedProfile,68,2,"0,029411764705882"
Android,android-CardEmulation,58,5,"0,086206896551724"
Android,android-BasicAccessibility,50,4,"0,08"
Android,android-ElevationDrag,33,0,0
Android,android-HdrViewfinder,41,0,0
Android,android-SynchronizedNotifications,63,1,"0,015873015873016"
Android,android-RepeatingAlarm,79,1,"0,012658227848101"
Android,android-MediaEffects,56,1,"0,017857142857143"
Android,android-DirectShare,41,1,"0,024390243902439"
Android,android-CustomTransition,38,1,"0,026315789473684"
Android,android-Geofencing,95,2,"0,021052631578947"
Android,android-Interpolator,37,1,"0,027027027027027"
Android,android-BasicNotifications,71,4,"0,056338028169014"
Android,android-BasicMediaDecoder,51,2,"0,03921568627451"
Android,android-StorageProvider,46,4,"0,086956521739131"
Android,android-AccelerometerPlay,53,4,"0,075471698113208"
Android,android-BasicNetworking,70,4,"0,057142857142857"
Android,android-ClippingBasic,25,0,0
Android,android-CardReader,60,2,"0,033333333333333"
Android,android-SwipeRefreshLayoutBasic,55,0,0
Android,android-BasicTransition,39,1,"0,025641025641026"
Android,android-Timer,58,1,"0,017241379310345"
Android,android-DirectorySelection,37,2,"0,054054054054054"
Android,android-Notifications,40,2,"0,05"
Android,android-HorizontalPaging,34,1,"0,029411764705882"
Android,android-AutoBackupForApps,29,2,"0,068965517241379"
Android,android-codelab-watchface,32,1,"0,03125"
Android,android-MidiSynth,25,0,0
Android,android-PermissionRequest,37,0,0
Android,android-ElevationBasic,27,0,0
Android,android-RenderScriptIntrinsic,24,0,0
Android,android-StorageClient,39,3,"0,076923076923077"
Android,android-AdvancedImmersiveMode,27,1,"0,037037037037037"
Android,android-google-accounts,33,0,0
Android,android-ActionBarCompat-ListPopupMenu,42,0,0
Android,android-BasicRenderScript,34,1,"0,029411764705882"
Android,android-DoneBar,26,0,0
Android,android-BasicGestureDetect,67,26,"0,388059701492537"
Android,android-DocumentCentricApps,24,0,0
Android,android-LNotifications,47,1,"0,021276595744681"
Android,android-BeamLargeFiles,29,0,0
Android,android-GridViewPager,38,0,0
Android,android-SkeletonWearableApp,31,0,0
Android,android-ActionBarCompat-Basic,41,1,"0,024390243902439"
Android,android-DataLayer,36,1,"0,027777777777778"
Android,android-ActionBarCompat-Styled,49,0,0
Android,android-CustomChoiceList,45,2,"0,044444444444445"
Android,android-ImmersiveMode,25,0,0
Android,android-Quiz,53,0,0
Android,android-WatchViewStub,32,1,"0,03125"
Android,identity-toolkit-android,39,2,"0,051282051282051"
Android,android-DrawableTinting,19,0,0
Android,android-FindMyPhone,47,0,0
Android,android-BorderlessButtons,40,0,0
Android,android-gcmnetworkmanager,39,0,0
Android,android-WearCompanionLibrary,20,1,"0,05"
Android,android-play-awareness,19,0,0
Android,android-BasicContactables,28,1,"0,035714285714286"
Android,android-CommitContentSampleIME,21,2,"0,095238095238095"
Android,leanback-assistant,19,0,0
Android,android-ActivityInstrumentation,35,2,"0,057142857142857"
Android,android-MediaRouter,22,0,0
Android,android-fido,15,0,0
Android,android-WearSpeakerSample,31,0,0
Android,android-AppRestrictionSchema,22,0,0
Android,android-JumpingJack,21,0,0
Android,android-DragAndDropAcrossApps,15,0,0
Android,android-WearVerifyRemoteApp,27,3,"0,111111111111111"
Android,android-BasicMediaRouter,22,0,0
Android,android-ElizaChat,25,0,0
Android,androidtv-VisualGameController,20,0,0
Android,attendee-checkin,14,0,0
Android,android-BasicMultitouch,32,2,"0,0625"
Android,android-AppRestrictionEnforcer,30,0,0
Android,android-Flashlight,32,1,"0,03125"
Android,android-MidiScope,22,0,0
Android,android-WearDrawers,24,2,"0,083333333333333"
Android,android-ContentProviderPaging,10,0,0
Android,android-RecipeAssistant,31,0,0
Android,androidtv-GameController,25,1,"0,04"
Android,android-CommitContentSampleApp,14,0,0
Android,android-key-attestation,10,1,"0,1"
Android,android-AlwaysOn,25,0,0
Android,android-BasicImmersiveMode,17,0,0
Android,android-WearComplicationProvidersTestSuite,13,0,0
Android,androidtv-daydream,12,1,"0,083333333333333"
Android,android-AppRestrictions,20,0,0
Android,android-ShareActionProvider,10,0,0
Android,android-WclDemoSample,15,0,0
Android,android-WearHighBandwidthNetworking,18,0,0
Android,android-WearStandaloneGoogleSignIn,11,0,0
Android,account-transfer-api,10,0,0
Android,android-RuntimePermissionsWear,18,0,0
Android,android-DocumentCentricRelinquishIdentity,11,0,0
Android,android-WifiRttScan,5,1,"0,2"
Android,leanback-homescreen-channels,11,0,0
Android,android-DelayedConfirmation,16,0,0
Android,android-TensorFlowCloudMachineLearningEngineStylizer,5,0,0
Android,android-WearOAuth,9,1,"0,111111111111111"
Android,chromeos-android-draganddrop-demo,2,0,0
Android,android-WearAccessibilityApp,5,0,0
