sample,repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects,status,ahead_by,behind_by
android,benediktrauch/android-BluetoothLeGatt,0,11131,0,1,0,26,0,2018-04-04T14:02:50Z,0,ahead,1,0
android,benju69/android-play-billing,0,238,0,1,0,17,0,2016-11-18T13:55:37Z,0,diverged,2,50
android,benju69/android-unsplash,0,175,0,1,0,35,0,2017-01-09T13:40:18Z,0,ahead,1,0
android,bennythejudge/android-NetworkConnect,0,8277,0,1,0,26,1,2018-03-26T22:57:27Z,0,ahead,1,0
android,benoitdevos/android-codelab-watchface,0,495,0,1,0,5,0,2016-12-20T12:04:32Z,0,ahead,4,0
android,Benweii/android-play-location,0,478,0,1,0,34,0,2015-06-05T09:02:04Z,0,diverged,3,40
android,Betrayed49/android-NotificationChannels,0,987,1,1,0,6,0,2018-07-25T04:47:24Z,0,ahead,1,0
android,betty200744/android-testing,0,10929,0,1,0,106,0,2017-03-24T02:21:12Z,0,diverged,15,92
android,bighwstyle/android-play-places,0,312,0,0,0,32,3,2018-11-04T11:48:51Z,0,ahead,8,0
android,BigXiaoYang/android-play-billing,0,235,0,1,0,12,0,2016-07-05T05:52:52Z,0,diverged,1,54
android,bkraszewski/android-Camera2Basic,0,19069,0,1,0,26,0,2017-03-30T10:01:30Z,0,diverged,3,5
android,bkromhout/android-Interpolator,0,281,0,1,0,20,0,2016-05-23T18:54:34Z,0,diverged,3,6
android,blairun/PaddleBattle,0,619,0,1,0,27,0,2018-09-09T01:13:27Z,0,ahead,2,0
android,blueflybee/android-BluetoothLeGatt,0,317,0,0,0,24,0,2017-07-19T01:51:44Z,0,diverged,1,2
android,bluepine/androidtv-Leanback,0,1939,0,1,0,210,0,2016-04-01T21:26:55Z,0,diverged,4,52
android,BoBoMEe/easypermissions,0,166,0,1,0,49,0,2016-10-14T07:04:52Z,0,diverged,1,116
android,bonaparteI/android-ConfirmCredential,0,449,0,1,0,2,0,2015-05-31T00:12:52Z,0,diverged,1,15
android,BoomBone/android-BluetoothLeGatt,0,25511,0,0,0,6,0,2017-05-26T01:33:01Z,0,diverged,6,25
android,bourica2017/android-AutofillFramework,0,9496,0,0,0,14,0,2017-09-03T05:04:15Z,0,diverged,1,15
android,brianhv/android-testing,0,4221,0,1,0,14,0,2014-12-23T17:41:21Z,0,diverged,1,170
android,bryansills/android-testing,0,4316,0,1,0,26,0,2015-04-01T20:46:39Z,0,diverged,2,159
android,bryanw912/android-Camera2Basic,0,1471,0,0,0,29,0,2018-05-28T10:38:00Z,0,ahead,1,0
android,Buggaboo/android-SpeedTracker,0,210,0,1,0,30,0,2016-02-21T18:31:20Z,0,diverged,11,13
android,burakozknn/android-testing,0,11186,0,1,0,166,0,2018-10-08T00:51:54Z,0,diverged,1,18
android,businesstek/android-BluetoothLeGatt,0,312,0,1,0,25,0,2017-09-12T23:42:41Z,0,diverged,2,2
android,C01DER/Heart-Rate-Monitor-Over-Belt,0,315,0,1,0,27,0,2018-05-06T12:58:47Z,0,ahead,2,0
android,c0758/android-BluetoothChat,0,566,0,1,0,20,0,2016-10-13T09:43:25Z,0,diverged,1,6
android,C0d3GGz/android-NotificationChannels,0,989,0,0,0,7,0,2018-07-17T08:59:04Z,0,ahead,2,0
android,CaiWeiLeGG/android-CardView,0,21292,0,0,0,25,0,2017-04-05T00:44:00Z,0,diverged,3,4
android,calben/android-MediaRecorder,0,978,0,1,0,24,0,2017-08-08T13:36:57Z,0,diverged,1,4
android,CallorGRP/android-Camera2Raw,0,26090,0,0,0,17,0,2017-09-07T20:28:43Z,0,diverged,2,2
android,calvarez-ov/android-HorizontalPaging,0,251,0,1,0,26,0,2018-02-28T19:01:19Z,0,ahead,1,0
android,caramelWaffle/easypermissions,0,431,0,0,0,132,0,2018-02-26T03:46:43Z,0,diverged,1,33
android,cartland/android-play-publisher-api,0,21,0,1,0,10,0,2016-10-24T14:59:50Z,0,diverged,1,2
android,cartland/android-WatchFace,0,829,0,1,0,26,0,2014-12-24T09:14:06Z,0,diverged,24,29
android,catalant-backup/google-services,0,9180,0,6,0,570,0,2017-10-27T16:51:48Z,0,diverged,53,111
android,cattaka/android-DownloadableFonts,1,410,0,0,0,9,0,2017-06-22T20:32:04Z,0,diverged,6,2
android,cbiancucci/android-play-safetynet,0,398,0,0,0,22,0,2018-10-02T20:41:37Z,0,ahead,2,0
android,cbogart/ViolationOfDirectives,0,2899,0,2,0,16,0,2018-03-31T02:23:33Z,0,diverged,10,19
android,CCorrado/android-RepeatingAlarm,0,119,0,1,0,23,0,2016-07-19T21:10:52Z,0,diverged,5,6
android,ccstaylightc/android-AutofillFramework,0,8910,0,1,0,12,1,2017-06-14T07:27:36Z,0,diverged,3,19
android,cebufooddroid/google-services,0,8277,1,0,0,518,1,2017-03-21T14:02:43Z,0,diverged,1,111
android,cesine/android-BluetoothLeGatt,0,350,0,1,0,21,3,2016-01-17T20:31:06Z,0,diverged,4,8
android,chad187/android-Camera2Video,0,6928,0,1,0,35,0,2017-03-22T03:26:43Z,0,diverged,12,4
android,ChangLoveXie/android-BluetoothLeGatt,0,317,0,0,0,26,0,2018-06-15T08:51:55Z,0,ahead,1,0
android,chauhan-abhi/android-vision,0,731,0,0,0,76,0,2017-11-06T19:57:25Z,0,diverged,5,5
android,chenyilyang/android-MediaBrowserService,0,516,0,1,0,20,0,2016-08-05T07:02:13Z,0,diverged,1,7
android,chester11206/android-fit,0,122658,0,0,0,82,0,2018-08-21T15:13:58Z,0,ahead,28,0
android,CHOIMINSEOK/android-SlidingTabsBasic,0,131,0,0,0,26,0,2017-12-04T11:30:45Z,0,diverged,1,1
android,chriscborg/android-Camera2Video,0,6914,0,1,0,28,0,2018-01-09T14:40:27Z,0,diverged,2,1
android,ChristianBecker/android_ibeacon,0,424,0,1,0,18,0,2015-05-28T06:57:22Z,0,diverged,11,18
android,ChristofBuechi/android-FingerprintDialog,0,633,0,1,0,20,0,2016-04-16T10:19:38Z,0,diverged,7,12
android,CillianMyles/android-notification-channels,0,990,0,1,0,9,0,2018-03-21T09:28:44Z,0,diverged,5,1
android,ciscorucinski/android-BasicAccessibility,0,383,0,1,0,25,0,2018-05-19T16:41:00Z,0,diverged,1,1
android,Clabfabs/HeartBuddy,2,846,0,4,11,45,0,2016-04-15T07:34:21Z,0,diverged,29,9
android,cmonr/uBristleBot-AndroidApp,0,6398,0,0,11,46,0,2016-01-12T04:24:37Z,0,diverged,30,9
android,codexpedia/android-SimpleMediaPlayer,0,6552,0,0,0,5,0,2018-01-14T17:17:33Z,0,ahead,2,0
android,colinsung/android-ads,0,337,0,1,0,11,0,2015-07-17T02:44:34Z,0,diverged,4,28
android,colinsung/android-BasicManagedProfile,0,548,0,1,0,34,0,2015-05-12T01:48:41Z,0,diverged,23,14
android,colinsung/android-credentials,0,177,0,1,0,6,0,2015-06-26T01:26:05Z,0,diverged,3,22
android,colinsung/android-play-location,0,454,0,1,0,36,0,2015-06-23T11:39:08Z,0,diverged,3,38
android,colinsung/android-testing,0,10918,0,1,0,50,0,2015-06-22T06:58:17Z,0,diverged,3,136
android,colinsung/android-XYZTouristAttractions,0,15693,0,1,0,10,0,2015-07-13T01:12:34Z,0,diverged,5,19
android,colinsung/androidtv-Leanback,0,1892,0,1,0,175,0,2015-05-13T01:47:57Z,0,diverged,19,102
android,colinsung/google-services,0,7960,0,1,0,353,0,2015-06-22T07:12:29Z,0,diverged,21,296
android,comarchtechnologies/android-MediaBrowserService,0,1010,1,2,0,26,0,2015-09-27T14:11:57Z,0,diverged,12,12
android,commons-app/ShootMe,1,26888,5,3,11,37,1,2018-09-17T22:00:57Z,0,diverged,22,9
android,congwiny/android-DisplayingBitmaps,0,1057,0,1,0,25,0,2017-12-19T06:57:20Z,0,diverged,1,1
