project, imports, javaFiles, imports/javaFiles
android-RuntimePermissions, 39, 6, 6.50
android-RevealEffectBasic, 31, 10, 3.10
android-RepeatingAlarm, 30, 9, 3.33
android-RenderScriptIntrinsic, 33, 3, 11.00
android-RecyclerView, 29, 10, 2.90
android-RecipeAssistant, 46, 14, 3.29
android-Quiz, 56, 8, 7.00
android-PermissionRequest, 62, 13, 4.77
android-PdfRendererBasic, 27, 3, 9.00
android-NotificationChannels, 15, 2, 7.50
android-NfcProvisioning, 60, 13, 4.62
android-NetworkConnect, 22, 4, 5.50
android-NavigationDrawer, 37, 10, 3.70
android-MultiWindowPlayground, 35, 14, 2.50
android-MidiSynth, 48, 25, 1.92
android-MidiScope, 49, 28, 1.75
android-MediaRouter, 97, 17, 5.71
android-MediaBrowserService, 63, 9, 7.00
android-LNotifications, 34, 4, 8.50
android-JobScheduler, 39, 9, 4.33
android-Interpolator, 39, 10, 3.90
android-ImmersiveMode, 29, 11, 2.64
android-HorizontalPaging, 15, 2, 7.50
android-HdrViewfinder, 51, 5, 10.20
android-GridViewPager, 25, 3, 8.33
android-Geofencing, 42, 8, 5.25
android-FloatingActionButtonBasic, 33, 11, 3.00
android-Flashlight, 18, 2, 9.00
android-FingerprintDialog, 48, 4, 12.00
android-FindMyPhone, 34, 4, 8.50
android-ElizaChat, 20, 3, 6.67
android-ElevationDrag, 37, 11, 3.36
android-ElevationBasic, 30, 10, 3.00
android-DrawableTinting, 34, 9, 3.78
android-DragAndDropAcrossApps, 46, 20, 2.30
android-DownloadableFonts, 25, 3, 8.33
android-DoneBar, 17, 4, 4.25
android-DocumentCentricRelinquishIdentity, 7, 2, 3.50
android-DocumentCentricApps, 19, 4, 4.75
android-DirectShare, 21, 6, 3.50
android-DirectorySelection, 25, 7, 3.57
android-DeviceOwner, 27, 4, 6.75
android-DelayedConfirmation, 21, 3, 7.00
android-CustomTransition, 40, 10, 4.00
android-CustomNotifications, 12, 1, 12.00
android-ContentProviderPaging, 41, 6, 6.83
android-ConfirmCredential, 28, 1, 28.00
android-CommitContentSampleIME, 27, 1, 27.00
android-CommitContentSampleApp, 18, 1, 18.00
android-ClippingBasic, 31, 10, 3.10
android-CardView, 10, 3, 3.33
android-CardReader, 33, 11, 3.00
android-CardEmulation, 32, 12, 2.67
android-BorderlessButtons, 23, 7, 3.29
android-BluetoothAdvertisements, 41, 6, 6.83
android-BeamLargeFiles, 38, 11, 3.45
android-BatchStepSensor, 63, 20, 3.15
android-BasicTransition, 40, 11, 3.64
android-BasicSyncAdapter, 75, 17, 4.41
android-BasicNotifications, 11, 2, 5.50
android-BasicNetworking, 27, 9, 3.00
android-BasicMultitouch, 23, 9, 2.56
android-BasicMediaRouter, 28, 9, 3.11
android-BasicMediaDecoder, 31, 3, 10.33
android-BasicManagedProfile, 26, 5, 5.20
android-BasicImmersiveMode, 28, 10, 2.80
android-BasicGestureDetect, 32, 11, 2.91
android-BasicContactables, 27, 9, 3.00
android-BasicAndroidKeyStore, 51, 11, 4.64
android-AutoBackupForApps, 28, 4, 7.00
android-AsymmetricFingerprintDialog, 65, 9, 7.22
android-AppShortcuts, 37, 4, 9.25
android-AppRestrictionSchema, 37, 9, 4.11
android-AppRestrictions, 24, 4, 6.00
android-AppRestrictionEnforcer, 41, 9, 4.56
android-AdvancedImmersiveMode, 30, 10, 3.00
android-ActiveNotifications, 34, 10, 3.40
android-ActionBarCompat-Styled, 7, 2, 3.50
android-ActionBarCompat-ListPopupMenu, 13, 4, 3.25
android-ActionBarCompat-Basic, 7, 2, 3.50
android-key-attestation, 23, 1, 23.00
android-play-places, 101, 45, 2.24
android-AccelerometerPlay, 22, 1, 22.00
android-play-awareness, 44, 3, 14.67
leanback-assistant, 71, 17, 4.18
android-play-safetynet, 60, 12, 5.00
account-transfer-api, 41, 7, 5.86
android-SimpleMediaPlayer, 17, 4, 4.25
android-fido, 87, 5, 17.40
android-WearStandaloneGoogleSignIn, 23, 2, 11.50
android-WearOAuth, 26, 1, 26.00
android-unsplash, 76, 16, 4.75
android-codelab-watchface, 22, 5, 4.40
android-OurStreets, 112, 26, 4.31
android-WearCompanionLibrary, 119, 20, 5.95
android-gcmnetworkmanager, 23, 2, 11.50
identity-toolkit-android, 23, 3, 7.67
android-WclDemoSample, 90, 14, 6.43
attendee-checkin, 204, 45, 4.53
android-play-games-in-motion, 111, 31, 3.58
androidtv-daydream, 30, 13, 2.31
androidtv-VisualGameController, 29, 5, 5.80
androidtv-GameController, 33, 12, 2.75
android-google-accounts, 27, 4, 6.75
