path,20,2014-06-25,21,2014-10-17,22,2015-03-09,23,2015-08-17,24,2016-06-15,25,2016-11-22,26,2017-06-08,27,2017-12-05,28,2018-07-25
android-BasicManagedProfile/Application/build.gradle,,,,,,,,,24,58,25,21,26,124,27,72,,
android-play-awareness/basic-awareness-sample/app/build.gradle,,,,,,,,,,,,,,,,,,
android-TextLinkify/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-StorageProvider/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-DirectorySelection/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-ActionBarCompat-ListPopupMenu/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-AppUsageStatistics/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-WearCompanionLibrary/WCL/build.gradle,,,,,,,,,,,,,,,,,,
androidtv-sample-inputs/library/build.gradle,,,,,,,,,24,23,,,,,,,,
androidtv-sample-inputs/app/build.gradle,,,,,22,86,23,22,24,34,,,,,,,,
android-WearStandaloneGoogleSignIn/app/build.gradle,,,,,,,,,,,25,72,,,,,,
android-Interpolator/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-BluetoothChat/Application/build.gradle,,,21,32,22,50,23,0,24,58,25,21,26,124,27,72,,
android-ActivitySceneTransitionBasic/Application/build.gradle,,,,,,,,,24,58,25,21,26,124,27,72,,
android-SlidingTabsColors/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-play-games-in-motion/app/build.gradle,,,,,,,,,,,,,,,,,,
android-WearVerifyRemoteApp/Application/build.gradle,,,,,,,,,,,,,26,124,27,26,,
android-DirectShare/Application/build.gradle,,,,,,,,,24,58,25,21,26,124,27,72,,
android-play-safetynet/client/java/SafetyNetSample/Application/build.gradle,,,,,,,,,,,,,26,5,,,,
android-LNotifications/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-DirectBoot/Application/build.gradle,,,,,,,,,,,25,21,,,,,,
android-WearComplicationProvidersTestSuite/Wearable/build.gradle,,,,,,,,,,,,,26,64,,,,
android-BasicRenderScript/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
androidtv-VisualGameController/build.gradle,,,,,,,,,,,,,,,,,,
android-WearDrawers/Wearable/build.gradle,,,,,,,,,24,58,25,21,26,64,,,,
android-DeviceOwner/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-BasicAndroidKeyStore/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-SynchronizedNotifications/Wearable/build.gradle,,,21,47,22,50,23,0,24,58,25,21,26,124,27,72,,
android-SynchronizedNotifications/Shared/build.gradle,20,146,21,47,22,50,23,0,24,58,25,21,26,124,27,72,,
android-SynchronizedNotifications/Application/build.gradle,,,21,47,22,50,23,0,24,58,25,21,26,124,27,72,,
leanback-showcase/app/build.gradle,,,,,,,,,,,,,26,43,,,,
android-BasicMediaRouter/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-CustomChoiceList/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-BeamLargeFiles/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-JobScheduler/Application/build.gradle,,,,,,,,,24,58,25,21,26,124,27,3,,
android-BasicNotifications/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-Camera2Basic/Application/build.gradle,,,,,,,23,3,24,58,25,21,26,124,27,3,,
easypermissions/easypermissions/build.gradle,,,,,,,,,24,91,,,,,,,,
easypermissions/app/build.gradle,,,,,,,,,24,91,,,,,,,,
android-ElizaChat/Application/build.gradle,,,21,47,22,50,23,0,24,58,25,21,26,124,27,72,,
android-RuntimePermissionsWear/Wearable/build.gradle,,,,,,,,,24,58,25,21,26,64,,,,
android-RuntimePermissionsWear/Shared/build.gradle,,,,,,,,,24,58,25,21,26,124,27,51,,
android-RuntimePermissionsWear/Application/build.gradle,,,,,,,,,24,58,25,21,26,124,27,51,,
android-play-billing/TrivialDrive/app/build.gradle,,,,,,,,,,,,,,,,,,
android-nearby/messages/NearbyDevices/app/build.gradle,,,,,,,,,,,,,,,,,,
android-nearby/connections/rockpaperscissors/app/build.gradle,,,,,,,,,,,,,,,27,71,28,63
android-nearby/connections/walkietalkie/app/build.gradle,,,,,,,,,,,,,,,27,71,,
android-FindMyPhone/Wearable/build.gradle,,,21,47,22,50,23,0,24,58,25,21,26,124,27,72,,
android-FindMyPhone/Application/build.gradle,,,21,47,22,50,23,0,24,58,25,21,26,124,27,72,,
android-CardEmulation/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-BasicGestureDetect/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
account-transfer-api/app/build.gradle,,,,,,,,,,,,,26,81,,,,
android-MidiScope/Application/build.gradle,,,,,,,,,24,58,25,21,26,124,27,72,,
android-WearOAuth/app/build.gradle,,,,,,,,,,,25,72,,,,,,
android-MessagingService/Application/build.gradle,,,,,22,50,23,0,24,58,,,,,,,,
android-DocumentCentricApps/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-ActionBarCompat-ShareActionProvider/Application/build.gradle,,,,,22,50,23,0,24,58,,,,,,,,
android-BluetoothAdvertisements/Application/build.gradle,,,,,,,23,0,24,58,25,21,26,124,27,72,,
android-Notifications/Wearable/build.gradle,,,,,,,,,,,25,21,26,64,,,28,2
android-Notifications/Shared/build.gradle,,,,,,,,,,,,,,,,,28,2
android-Notifications/Application/build.gradle,,,,,,,,,,,25,21,26,64,,,28,2
android-ClippingBasic/Application/build.gradle,,,,,,,,,24,58,25,21,26,124,27,72,,
android-MediaBrowserService/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-PictureInPicture/kotlinApp/app/build.gradle,,,,,,,,,,,,,,,27,3,,
android-PictureInPicture/app/build.gradle,,,,,,,,,,,,,,,27,3,,
android-Camera2Raw/Application/build.gradle,,,,,,,23,3,24,58,25,21,26,124,27,72,,
android-RepeatingAlarm/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-codelab-watchface/2-background/build.gradle,,,,,,,,,,,,,,,,,,
android-AutofillFramework/afservice/build.gradle,,,,,,,,,,,,,,,27,80,28,68
android-AutofillFramework/Application/build.gradle,,,,,,,,,,,,,,,,,28,68
android-AutofillFramework/kotlinApp/Application/build.gradle,,,,,,,,,,,,,,,,,,
android-SwipeRefreshLayoutBasic/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-ActionBarCompat-Basic/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-PermissionRequest/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-play-location/LocationAddress/kotlin/app/build.gradle,,,,,,,,,,,,,,,27,64,,
android-play-location/LocationUpdates/app/build.gradle,,,,,,,23,46,,,,,,,,,,
android-play-location/ActivityRecognition/app/build.gradle,,,,,,,23,46,,,,,,,,,,
android-play-location/Geofencing/app/build.gradle,,,,,,,23,46,,,,,26,179,,,,
android-play-location/LocationUpdatesPendingIntent/app/build.gradle,,,,,,,,,,,,,26,179,,,,
android-ElevationBasic/Application/build.gradle,,,,,,,,,24,58,25,21,26,124,27,72,,
android-BatchStepSensor/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-NfcProvisioning/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-google-accounts/QuickStart/app/build.gradle,,,21,28,,,,,,,,,,,,,,
android-RecipeAssistant/Application/build.gradle,,,21,47,22,50,23,0,24,58,25,21,26,124,27,72,,
android-SkeletonWearableApp/Wearable/build.gradle,,,21,47,22,50,23,0,24,58,25,21,26,124,27,72,,
android-BasicImmersiveMode/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-unsplash/app/build.gradle,,,,,,,,,,,,,,,,,,
android-AsymmetricFingerprintDialog/Application/build.gradle,,,,,,,,,24,58,25,21,26,124,27,72,,
androidtv-Leanback/app/build.gradle,,,21,11,22,14,23,51,24,5,,,26,41,27,20,,
android-SlidingTabsBasic/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-CardReader/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-DoneBar/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-TextSwitcher/Application/build.gradle,,,,,22,50,23,0,24,58,25,21,26,124,27,72,,
android-JumpingJack/Wearable/build.gradle,,,21,47,22,50,23,0,24,58,25,21,26,124,27,51,,
android-ads/admob/InterstitialExample/app/build.gradle,,,,,,,23,43,,,25,97,26,69,,,,
android-ads/admob/NativeAdvancedExample/app/build.gradle,,,,,,,,,,,25,97,26,69,,,,
android-ads/admob/BannerExample/app/build.gradle,,,,,,,23,57,,,25,97,26,69,,,,
android-ads/admob/RewardedVideoExample/app/build.gradle,,,,,,,,,,,,,26,69,,,,
android-ads/advanced/APIDemo/app/build.gradle,,,,,,,,,,,25,97,26,69,,,,
android-ads/doubleclick/CustomRenderingExample/app/build.gradle,,,,,,,,,,,25,97,26,69,,,,
android-ads/doubleclick/InterstitialExample/app/build.gradle,,,,,,,23,43,,,25,97,26,69,,,,
android-ads/doubleclick/BannerExample/app/build.gradle,,,,,,,23,57,,,25,97,26,69,,,,
android-RevealEffectBasic/Application/build.gradle,,,,,,,,,24,58,25,21,26,124,27,72,,
android-XYZTouristAttractions/Wearable/build.gradle,,,,,22,50,,,24,58,25,21,,,27,51,,
android-XYZTouristAttractions/Shared/build.gradle,,,,,22,50,,,24,58,25,21,26,124,27,51,,
android-XYZTouristAttractions/Application/build.gradle,,,,,22,50,,,24,58,25,21,26,124,27,51,,
android-CustomNotifications/Application/build.gradle,,,,,22,50,,,24,58,25,21,26,124,27,72,,
android-Geofencing/Wearable/build.gradle,,,21,47,22,50,,,24,58,25,21,26,124,27,72,,
android-Geofencing/Application/build.gradle,,,21,47,22,50,,,24,58,25,21,26,124,27,72,,
android-StorageClient/Application/build.gradle,,,,,22,50,,,24,58,25,21,26,124,27,72,,
android-AdvancedImmersiveMode/Application/build.gradle,,,,,22,50,,,24,58,25,21,26,124,27,72,,
android-CustomTransition/Application/build.gradle,,,,,22,50,,,24,58,25,21,26,124,27,72,,
android-testing-templates/AndroidTestingBlueprint/module-flavor1-androidTest-only/build.gradle,,,,,,,23,29,,,,,,,,,,
android-testing-templates/AndroidTestingBlueprint/module-android-library/build.gradle,,,,,,,23,29,,,,,,,,,,
android-testing-templates/AndroidTestingBlueprint/app/build.gradle,,,,,,,23,29,,,,,,,,,,
android-testing-templates/AndroidTestingBlueprint/build.gradle,,,,,,,,,,,,,,,27,35,,
android-Camera2Video/Application/build.gradle,,,,,,,23,3,24,58,25,21,26,124,27,72,,
android-AppRestrictionEnforcer/Application/build.gradle,,,,,,,23,52,24,58,25,21,26,124,27,72,,
android-MediaRouter/Application/build.gradle,,,,,22,50,,,24,58,25,21,26,124,27,72,,
android-Quiz/Wearable/build.gradle,,,21,47,22,50,,,24,58,25,21,26,124,27,72,,
android-Quiz/Application/build.gradle,,,21,47,22,50,,,24,58,25,21,26,124,27,72,,
android-testing/runner/AndroidJunitRunnerSample/app/build.gradle,,,,,,,23,15,24,47,,,26,47,,,28,78
android-testing/unit/BasicSample/app/build.gradle,,,,,,,23,15,24,47,,,26,47,,,28,91
android-testing/unit/BasicUnitAndroidTest/app/build.gradle,,,,,,,23,15,24,47,,,26,47,,,28,78
android-testing/integration/ServiceTestRuleSample/app/build.gradle,,,,,,,23,15,24,47,,,26,47,,,28,91
android-testing/ui/espresso/RecyclerViewSample/app/build.gradle,,,,,,,,,,,,,,,,,28,78
android-testing/ui/espresso/IntentsAdvancedSample/app/build.gradle,,,,,,,23,15,24,47,,,26,47,,,28,78
android-testing/ui/espresso/IntentsBasicSample/app/build.gradle,,,,,,,23,15,24,47,,,,,,,28,77
android-testing/ui/espresso/DataAdapterSample/app/build.gradle,,,,,,,23,15,24,47,,,26,47,,,28,78
android-testing/ui/espresso/MultiProcessSample/app/build.gradle,,,,,,,,,,,,,,,,,28,78
android-testing/ui/espresso/IdlingResourceSample/app/build.gradle,,,,,,,,,,,,,26,47,,,28,78
android-testing/ui/espresso/CustomMatcherSample/app/build.gradle,,,,,,,23,15,24,47,,,26,47,,,28,78
android-testing/ui/espresso/BasicSample/app/build.gradle,,,,,,,23,15,24,47,,,26,47,,,28,78
android-testing/ui/espresso/WebBasicSample/app/build.gradle,,,,,,,23,15,24,47,,,26,47,,,28,78
android-testing/ui/espresso/MultiWindowSample/app/build.gradle,,,,,,,23,15,24,47,,,26,47,,,28,78
android-testing/ui/uiautomator/BasicSample/app/build.gradle,,,,,,,23,15,24,47,,,26,47,,,28,78
android-testdpc/app/build.gradle,,,,,,,23,53,24,6,,,26,76,27,8,28,6
android-GridViewPager/Wearable/build.gradle,,,21,47,22,50,,,24,58,25,21,26,124,27,72,,
android-RecyclerView/Application/build.gradle,,,,,22,50,,,24,58,25,21,26,124,27,72,,
android-AutoBackupForApps/Application/build.gradle,,,,,,,,,24,58,25,21,26,124,27,72,,
android-DataLayer/Wearable/build.gradle,,,21,47,22,50,,,24,58,25,21,,,27,3,,
android-DataLayer/Application/build.gradle,,,21,47,22,50,,,24,58,25,21,26,124,27,3,,
android-WatchViewStub/Wearable/build.gradle,,,21,47,22,50,,,24,58,25,21,26,124,27,72,,
android-BasicAccessibility/Application/build.gradle,,,,,22,50,,,24,58,25,21,26,124,27,72,,
android-fit/BasicHistorySessions/app/build.gradle,,,21,35,,,23,71,,,,,26,151,,,,
android-fit/BasicRecordingApi/app/build.gradle,,,21,35,,,23,71,,,,,26,151,,,,
android-fit/BasicSensorsApi/app/build.gradle,,,21,35,,,23,71,,,,,26,151,,,,
android-fit/BasicHistoryApi/app/build.gradle,,,21,35,,,23,70,,,,,26,151,,,,
android-fit/StepCounter/app/build.gradle,,,,,,,,,,,,,26,151,,,,
android-Timer/Wearable/build.gradle,,,21,47,22,50,23,0,24,58,25,21,26,124,27,72,,
android-AppRestrictionSchema/Application/build.gradle,,,,,,,23,52,24,58,25,21,26,124,27,72,,
android-credentials/sms-verification/android/app/build.gradle,,,,,,,,,,,,,,,,,,
android-credentials/credentials-signin/app/build.gradle,,,,,,,,,,,,,,,27,302,,
android-credentials/credentials-quickstart/app/build.gradle,,,,,,,23,80,,,25,73,,,,,,
android-credentials/credentials-quickstart/app/build.gradle,,,,,,,23,80,,,25,73,,,27,45,,
android-BasicSyncAdapter/Application/build.gradle,,,,,22,50,,,24,58,25,21,26,124,27,72,,
android-MidiSynth/Application/build.gradle,,,,,,,,,24,58,25,21,26,124,27,72,,
android-play-places/PlacePicker/Application/build.gradle,,,,,,,23,119,,,,,,,,,,
android-vision/visionSamples/barcode-reader/app/build.gradle,,,,,,,,,24,90,,,,,,,,
android-vision/visionSamples/ocr-codelab/ocr-reader-complete/app/build.gradle,,,,,,,,,24,90,,,,,,,,
android-vision/visionSamples/ocr-codelab/ocr-reader-start/app/build.gradle,,,,,,,,,24,90,,,,,,,,
android-vision/visionSamples/multi-tracker/app/build.gradle,,,,,,,,,24,90,,,,,,,,
android-vision/visionSamples/googly-eyes/app/build.gradle,,,,,,,,,24,90,,,,,,,,
android-vision/visionSamples/photo-demo/app/build.gradle,,,,,,,,,24,90,,,,,,,,
android-FloatingActionButtonBasic/Application/build.gradle,,,,,,,,,24,58,25,21,26,124,27,72,,
,20,146,21,"42,84375",22,50,23,"12,5431034482759",24,"56,7039473684211",25,"26,8840579710145",26,"112,645569620253",27,"66,6279069767442",28,"65,0434782608696"
